location_id,city,timestamp,temperature,humidity,pressure,wind_speed,wind_direction,pm25,pm10,no2,so2,o3,co,aqi
"Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India",Wazirpur,44:28.7,30.45,74.1,990.425,0.3,21.7,252,332,62.4,4.8,22.4,35.7,332
"Satyawati College, Delhi, Delhi, India",Delhi,44:28.7,26.675,74.35,980.65,1.375,55.3,256,234,59.2,11.9,2.1,33.8,256
"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",Jhilmil,44:28.7,28.775,62.925,984.35,0.3,221.3,265,210,48.3,5.1,8.2,35.1,265
"Sonia Vihar Water Treatment Plant DJB, Delhi, Delhi, India",Sonia Vihar,44:28.7,26.575,78.525,991.3,0.3,313.6,251,177,16.5,1.8,1.7,24.9,251
"PGDAV College, Sriniwaspuri, Delhi, Delhi, India",Sriniwaspuri,44:28.7,22.3,71.425,985.65,0.3,347.1,282,347,43.1,5.2,3.4,29.9,347
"Pusa, Delhi, Delhi, India",Pusa,44:28.7,27.25,74.35,983.875,0.3,180.4,239,315,36.6,1.6,0.8,8.5,315
"R.K. Puram, Delhi, Delhi, India",R.K. Puram,44:28.7,24.9,81.5,980.4,0.3,148,310,450,36.1,4.9,7,20.4,450
"Major Dhyan Chand National Stadium, Delhi, Delhi, India",Major Dhyan Chand National Stadium,44:28.7,25.7,67.625,987.025,0.225,346.4,230,181,85.7,10.3,6.7,22.9,230
"Mandir Marg, Delhi, Delhi, India",Mandir Marg,44:28.7,29.950000000000003,91.6,985.825,0.3,323.8,208,127,33.6,0.9,8.9,5.2,208
"Mother Dairy Plant, Parparganj, Delhi, Delhi, India",Parparganj,44:28.7,27.950000000000003,60.725,984.775,0.3,4.4,200,276,85.2,3.3,1.2,28.4,276
"Jawaharlal Nehru Stadium, Delhi, Delhi, India",Jawaharlal Nehru Stadium,44:28.7,27.775,65.175,991.15,1.7,308.7,200,286,74.2,8,5,12.7,286
"IHBAS, Delhi, Delhi, India",IHBAS,44:28.7,34,52,1000,1,,,,16.9,6.4,10.7,11.3,-
"Lodhi Road, Delhi, Delhi, India",Lodhi Road,44:28.7,,,,1.5,,159,134,29.7,,4.5,0.1,159
"Burari Crossing, Delhi, Delhi, India",Burari,44:28.7,,,,1.5,,160,,17.6,,15.9,0.1,160
"CRRI Mathura Road, Delhi, Delhi, India",Mathura Road,44:28.7,,,,1.5,,217,233,13.6,,9,0.1,233
"Siri Fort, Delhi, Delhi, India",Siri Fort,44:28.7,,,,,,193,334,3.7,8.6,33.3,0.1,334
"North Campus, Delhi, Delhi, India",North Campus,44:28.7,,,,3.6,,164,157,7.7,,12.6,0.1,164
"Civil Lines, Delhi, Delhi, India",Civil Lines,44:28.7,,,,,,,,,,,,-
"ITO, Delhi, Delhi, India",ITO,44:28.7,,,,,,,,,,,,-
"ITI Jahangirpuri, Delhi, Delhi, India",Jahangirpuri,44:28.7,26.825,65.32499999999999,975.175,0.225,145.1,262,333,33.7,11.9,1.6,45.2,333
"Anand Vihar, Delhi, Delhi, India",Anand Vihar,44:28.7,28.575000000000003,59.12500000000001,979.35,0.325,249.2,306,552,37.8,3.8,2.7,23.5,552
"Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India",Wazirpur,44:28.7,30.45,74.1,990.425,0.3,21.7,252,332,62.4,4.8,22.4,35.7,332
"Satyawati College, Delhi, Delhi, India",Delhi,44:28.7,26.675,74.35,980.65,1.375,55.3,256,234,59.2,11.9,2.1,33.8,256
"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",Jhilmil,44:28.7,28.775,62.925,984.35,0.3,221.3,265,210,48.3,5.1,8.2,35.1,265
"Sonia Vihar Water Treatment Plant DJB, Delhi, Delhi, India",Sonia Vihar,44:28.7,26.575,78.525,991.3,0.3,313.6,251,177,16.5,1.8,1.7,24.9,251
"PGDAV College, Sriniwaspuri, Delhi, Delhi, India",Sriniwaspuri,44:28.7,22.3,71.425,985.65,0.3,347.1,282,347,43.1,5.2,3.4,29.9,347
"Pusa, Delhi, Delhi, India",Pusa,44:28.7,27.25,74.35,983.875,0.3,180.4,239,315,36.6,1.6,0.8,8.5,315
"R.K. Puram, Delhi, Delhi, India",R.K. Puram,44:28.7,24.9,81.5,980.4,0.3,148,310,450,36.1,4.9,7,20.4,450
"Major Dhyan Chand National Stadium, Delhi, Delhi, India",Major Dhyan Chand National Stadium,44:28.7,25.7,67.625,987.025,0.225,346.4,230,181,85.7,10.3,6.7,22.9,230
"Mandir Marg, Delhi, Delhi, India",Mandir Marg,44:28.7,29.950000000000003,91.6,985.825,0.3,323.8,208,127,33.6,0.9,8.9,5.2,208
"Mother Dairy Plant, Parparganj, Delhi, Delhi, India",Parparganj,44:28.7,27.950000000000003,60.725,984.775,0.3,4.4,200,276,85.2,3.3,1.2,28.4,276
"Jawaharlal Nehru Stadium, Delhi, Delhi, India",Jawaharlal Nehru Stadium,44:28.7,27.775,65.175,991.15,1.7,308.7,200,286,74.2,8,5,12.7,286
"IHBAS, Delhi, Delhi, India",IHBAS,44:28.7,34,52,1000,1,,,,16.9,6.4,10.7,11.3,-
"Lodhi Road, Delhi, Delhi, India",Lodhi Road,44:28.7,,,,1.5,,159,134,29.7,,4.5,0.1,159
"Burari Crossing, Delhi, Delhi, India",Burari,44:28.7,,,,1.5,,160,,17.6,,15.9,0.1,160
"CRRI Mathura Road, Delhi, Delhi, India",Mathura Road,44:28.7,,,,1.5,,217,233,13.6,,9,0.1,233
"Siri Fort, Delhi, Delhi, India",Siri Fort,44:28.7,,,,,,193,334,3.7,8.6,33.3,0.1,334
"North Campus, Delhi, Delhi, India",North Campus,44:28.7,,,,3.6,,164,157,7.7,,12.6,0.1,164
"Civil Lines, Delhi, Delhi, India",Civil Lines,44:28.7,,,,,,,,,,,,-
"ITO, Delhi, Delhi, India",ITO,44:28.7,,,,,,,,,,,,-
"ITI Jahangirpuri, Delhi, Delhi, India",Jahangirpuri,44:28.7,26.825,65.32499999999999,975.175,0.225,145.1,262,333,33.7,11.9,1.6,45.2,333
"Anand Vihar, Delhi, Delhi, India",Anand Vihar,44:28.7,28.575000000000003,59.12500000000001,979.35,0.325,249.2,306,552,37.8,3.8,2.7,23.5,552
"Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India",Wazirpur,44:28.7,30.45,74.1,990.425,0.3,21.7,252,332,62.4,4.8,22.4,35.7,332
"Satyawati College, Delhi, Delhi, India",Delhi,44:28.7,26.675,74.35,980.65,1.375,55.3,256,234,59.2,11.9,2.1,33.8,256
"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",Jhilmil,44:28.7,28.775,62.925,984.35,0.3,221.3,265,210,48.3,5.1,8.2,35.1,265
"Sonia Vihar Water Treatment Plant DJB, Delhi, Delhi, India",Sonia Vihar,44:28.7,26.575,78.525,991.3,0.3,313.6,251,177,16.5,1.8,1.7,24.9,251
"PGDAV College, Sriniwaspuri, Delhi, Delhi, India",Sriniwaspuri,44:28.7,22.3,71.425,985.65,0.3,347.1,282,347,43.1,5.2,3.4,29.9,347
"Pusa, Delhi, Delhi, India",Pusa,44:28.7,27.25,74.35,983.875,0.3,180.4,239,315,36.6,1.6,0.8,8.5,315
"R.K. Puram, Delhi, Delhi, India",R.K. Puram,44:28.7,24.9,81.5,980.4,0.3,148,310,450,36.1,4.9,7,20.4,450
"Major Dhyan Chand National Stadium, Delhi, Delhi, India",Major Dhyan Chand National Stadium,44:28.7,25.7,67.625,987.025,0.225,346.4,230,181,85.7,10.3,6.7,22.9,230
"Mandir Marg, Delhi, Delhi, India",Mandir Marg,44:28.7,29.950000000000003,91.6,985.825,0.3,323.8,208,127,33.6,0.9,8.9,5.2,208
"Mother Dairy Plant, Parparganj, Delhi, Delhi, India",Parparganj,44:28.7,27.950000000000003,60.725,984.775,0.3,4.4,200,276,85.2,3.3,1.2,28.4,276
"Jawaharlal Nehru Stadium, Delhi, Delhi, India",Jawaharlal Nehru Stadium,44:28.7,27.775,65.175,991.15,1.7,308.7,200,286,74.2,8,5,12.7,286
"IHBAS, Delhi, Delhi, India",IHBAS,44:28.7,34,52,1000,1,,,,16.9,6.4,10.7,11.3,-
"Lodhi Road, Delhi, Delhi, India",Lodhi Road,44:28.7,,,,1.5,,159,134,29.7,,4.5,0.1,159
"Burari Crossing, Delhi, Delhi, India",Burari,44:28.7,,,,1.5,,160,,17.6,,15.9,0.1,160
"CRRI Mathura Road, Delhi, Delhi, India",Mathura Road,44:28.7,,,,1.5,,217,233,13.6,,9,0.1,233
"Siri Fort, Delhi, Delhi, India",Siri Fort,44:28.7,,,,,,193,334,3.7,8.6,33.3,0.1,334
"North Campus, Delhi, Delhi, India",North Campus,44:28.7,,,,3.6,,164,157,7.7,,12.6,0.1,164
"Civil Lines, Delhi, Delhi, India",Civil Lines,44:28.7,,,,,,,,,,,,-
"ITO, Delhi, Delhi, India",ITO,44:28.7,,,,,,,,,,,,-
"ITI Jahangirpuri, Delhi, Delhi, India",Jahangirpuri,44:28.7,26.825,65.32499999999999,975.175,0.225,145.1,262,333,33.7,11.9,1.6,45.2,333
"Anand Vihar, Delhi, Delhi, India",Anand Vihar,44:28.7,28.575000000000003,59.12500000000001,979.35,0.325,249.2,306,552,37.8,3.8,2.7,23.5,552
"Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India",Wazirpur,44:28.7,30.45,74.1,990.425,0.3,21.7,252,332,62.4,4.8,22.4,35.7,332
"Satyawati College, Delhi, Delhi, India",Delhi,44:28.7,26.675,74.35,980.65,1.375,55.3,256,234,59.2,11.9,2.1,33.8,256
"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",Jhilmil,44:28.7,28.775,62.925,984.35,0.3,221.3,265,210,48.3,5.1,8.2,35.1,265
"Sonia Vihar Water Treatment Plant DJB, Delhi, Delhi, India",Sonia Vihar,44:28.7,26.575,78.525,991.3,0.3,313.6,251,177,16.5,1.8,1.7,24.9,251
"PGDAV College, Sriniwaspuri, Delhi, Delhi, India",Sriniwaspuri,44:28.7,22.3,71.425,985.65,0.3,347.1,282,347,43.1,5.2,3.4,29.9,347
"Pusa, Delhi, Delhi, India",Pusa,44:28.7,27.25,74.35,983.875,0.3,180.4,239,315,36.6,1.6,0.8,8.5,315
"R.K. Puram, Delhi, Delhi, India",R.K. Puram,44:28.7,24.9,81.5,980.4,0.3,148,310,450,36.1,4.9,7,20.4,450
"Major Dhyan Chand National Stadium, Delhi, Delhi, India",Major Dhyan Chand National Stadium,44:28.7,25.7,67.625,987.025,0.225,346.4,230,181,85.7,10.3,6.7,22.9,230
"Mandir Marg, Delhi, Delhi, India",Mandir Marg,44:28.7,29.950000000000003,91.6,985.825,0.3,323.8,208,127,33.6,0.9,8.9,5.2,208
"Mother Dairy Plant, Parparganj, Delhi, Delhi, India",Parparganj,44:28.7,27.950000000000003,60.725,984.775,0.3,4.4,200,276,85.2,3.3,1.2,28.4,276
"Jawaharlal Nehru Stadium, Delhi, Delhi, India",Jawaharlal Nehru Stadium,44:28.7,27.775,65.175,991.15,1.7,308.7,200,286,74.2,8,5,12.7,286
"IHBAS, Delhi, Delhi, India",IHBAS,44:28.7,34,52,1000,1,,,,16.9,6.4,10.7,11.3,-
"Lodhi Road, Delhi, Delhi, India",Lodhi Road,44:28.7,,,,1.5,,159,134,29.7,,4.5,0.1,159
"Burari Crossing, Delhi, Delhi, India",Burari,44:28.7,,,,1.5,,160,,17.6,,15.9,0.1,160
"CRRI Mathura Road, Delhi, Delhi, India",Mathura Road,44:28.7,,,,1.5,,217,233,13.6,,9,0.1,233
"Siri Fort, Delhi, Delhi, India",Siri Fort,44:28.7,,,,,,193,334,3.7,8.6,33.3,0.1,334
"North Campus, Delhi, Delhi, India",North Campus,44:28.7,,,,3.6,,164,157,7.7,,12.6,0.1,164
"Civil Lines, Delhi, Delhi, India",Civil Lines,44:28.7,,,,,,,,,,,,-
"ITO, Delhi, Delhi, India",ITO,44:28.7,,,,,,,,,,,,-
"ITI Jahangirpuri, Delhi, Delhi, India",Jahangirpuri,44:28.7,26.825,65.32499999999999,975.175,0.225,145.1,262,333,33.7,11.9,1.6,45.2,333
"Anand Vihar, Delhi, Delhi, India",Anand Vihar,44:28.7,28.575000000000003,59.12500000000001,979.35,0.325,249.2,306,552,37.8,3.8,2.7,23.5,552
"Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India",Wazirpur,44:28.7,30.45,74.1,990.425,0.3,21.7,252,332,62.4,4.8,22.4,35.7,332
"Satyawati College, Delhi, Delhi, India",Delhi,44:28.7,26.675,74.35,980.65,1.375,55.3,256,234,59.2,11.9,2.1,33.8,256
"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",Jhilmil,44:28.7,28.775,62.925,984.35,0.3,221.3,265,210,48.3,5.1,8.2,35.1,265
"Sonia Vihar Water Treatment Plant DJB, Delhi, Delhi, India",Sonia Vihar,44:28.7,26.575,78.525,991.3,0.3,313.6,251,177,16.5,1.8,1.7,24.9,251
"PGDAV College, Sriniwaspuri, Delhi, Delhi, India",Sriniwaspuri,44:28.7,22.3,71.425,985.65,0.3,347.1,282,347,43.1,5.2,3.4,29.9,347
"Pusa, Delhi, Delhi, India",Pusa,44:28.7,27.25,74.35,983.875,0.3,180.4,239,315,36.6,1.6,0.8,8.5,315
"R.K. Puram, Delhi, Delhi, India",R.K. Puram,44:28.7,24.9,81.5,980.4,0.3,148,310,450,36.1,4.9,7,20.4,450
"Major Dhyan Chand National Stadium, Delhi, Delhi, India",Major Dhyan Chand National Stadium,44:28.7,25.7,67.625,987.025,0.225,346.4,230,181,85.7,10.3,6.7,22.9,230
"Mandir Marg, Delhi, Delhi, India",Mandir Marg,44:28.7,29.950000000000003,91.6,985.825,0.3,323.8,208,127,33.6,0.9,8.9,5.2,208
"Mother Dairy Plant, Parparganj, Delhi, Delhi, India",Parparganj,44:28.7,27.950000000000003,60.725,984.775,0.3,4.4,200,276,85.2,3.3,1.2,28.4,276
"Jawaharlal Nehru Stadium, Delhi, Delhi, India",Jawaharlal Nehru Stadium,44:28.7,27.775,65.175,991.15,1.7,308.7,200,286,74.2,8,5,12.7,286
"IHBAS, Delhi, Delhi, India",IHBAS,44:28.7,34,52,1000,1,,,,16.9,6.4,10.7,11.3,-
"Lodhi Road, Delhi, Delhi, India",Lodhi Road,44:28.7,,,,1.5,,159,134,29.7,,4.5,0.1,159
"Burari Crossing, Delhi, Delhi, India",Burari,44:28.7,,,,1.5,,160,,17.6,,15.9,0.1,160
"CRRI Mathura Road, Delhi, Delhi, India",Mathura Road,44:28.7,,,,1.5,,217,233,13.6,,9,0.1,233
"Siri Fort, Delhi, Delhi, India",Siri Fort,44:28.7,,,,,,193,334,3.7,8.6,33.3,0.1,334
"North Campus, Delhi, Delhi, India",North Campus,44:28.7,,,,3.6,,164,157,7.7,,12.6,0.1,164
"Civil Lines, Delhi, Delhi, India",Civil Lines,44:28.7,,,,,,,,,,,,-
"ITO, Delhi, Delhi, India",ITO,44:28.7,,,,,,,,,,,,-
"ITI Jahangirpuri, Delhi, Delhi, India",Jahangirpuri,44:28.7,26.825,65.32499999999999,975.175,0.225,145.1,262,333,33.7,11.9,1.6,45.2,333
"Anand Vihar, Delhi, Delhi, India",Anand Vihar,44:28.7,28.575000000000003,59.12500000000001,979.35,0.325,249.2,306,552,37.8,3.8,2.7,23.5,552
"Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India",Wazirpur,44:28.7,30.45,74.1,990.425,0.3,21.7,252,332,62.4,4.8,22.4,35.7,332
"Satyawati College, Delhi, Delhi, India",Delhi,44:28.7,26.675,74.35,980.65,1.375,55.3,256,234,59.2,11.9,2.1,33.8,256
"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",Jhilmil,44:28.7,28.775,62.925,984.35,0.3,221.3,265,210,48.3,5.1,8.2,35.1,265
"Sonia Vihar Water Treatment Plant DJB, Delhi, Delhi, India",Sonia Vihar,44:28.7,26.575,78.525,991.3,0.3,313.6,251,177,16.5,1.8,1.7,24.9,251
"PGDAV College, Sriniwaspuri, Delhi, Delhi, India",Sriniwaspuri,44:28.7,22.3,71.425,985.65,0.3,347.1,282,347,43.1,5.2,3.4,29.9,347
"Pusa, Delhi, Delhi, India",Pusa,44:28.7,27.25,74.35,983.875,0.3,180.4,239,315,36.6,1.6,0.8,8.5,315
"R.K. Puram, Delhi, Delhi, India",R.K. Puram,44:28.7,24.9,81.5,980.4,0.3,148,310,450,36.1,4.9,7,20.4,450
"Major Dhyan Chand National Stadium, Delhi, Delhi, India",Major Dhyan Chand National Stadium,44:28.7,25.7,67.625,987.025,0.225,346.4,230,181,85.7,10.3,6.7,22.9,230
"Mandir Marg, Delhi, Delhi, India",Mandir Marg,44:28.7,29.950000000000003,91.6,985.825,0.3,323.8,208,127,33.6,0.9,8.9,5.2,208
"Mother Dairy Plant, Parparganj, Delhi, Delhi, India",Parparganj,44:28.7,27.950000000000003,60.725,984.775,0.3,4.4,200,276,85.2,3.3,1.2,28.4,276
"Jawaharlal Nehru Stadium, Delhi, Delhi, India",Jawaharlal Nehru Stadium,44:28.7,27.775,65.175,991.15,1.7,308.7,200,286,74.2,8,5,12.7,286
"IHBAS, Delhi, Delhi, India",IHBAS,44:28.7,34,52,1000,1,,,,16.9,6.4,10.7,11.3,-
"Lodhi Road, Delhi, Delhi, India",Lodhi Road,44:28.7,,,,1.5,,159,134,29.7,,4.5,0.1,159
"Burari Crossing, Delhi, Delhi, India",Burari,44:28.7,,,,1.5,,160,,17.6,,15.9,0.1,160
"CRRI Mathura Road, Delhi, Delhi, India",Mathura Road,44:28.7,,,,1.5,,217,233,13.6,,9,0.1,233
"Siri Fort, Delhi, Delhi, India",Siri Fort,44:28.7,,,,,,193,334,3.7,8.6,33.3,0.1,334
"North Campus, Delhi, Delhi, India",North Campus,44:28.7,,,,3.6,,164,157,7.7,,12.6,0.1,164
"Civil Lines, Delhi, Delhi, India",Civil Lines,44:28.7,,,,,,,,,,,,-
"ITO, Delhi, Delhi, India",ITO,44:28.7,,,,,,,,,,,,-
"ITI Jahangirpuri, Delhi, Delhi, India",Jahangirpuri,44:28.7,26.825,65.32499999999999,975.175,0.225,145.1,262,333,33.7,11.9,1.6,45.2,333
"Anand Vihar, Delhi, Delhi, India",Anand Vihar,44:28.7,28.575000000000003,59.12500000000001,979.35,0.325,249.2,306,552,37.8,3.8,2.7,23.5,552
"Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India",Wazirpur,44:28.7,30.45,74.1,990.425,0.3,21.7,252,332,62.4,4.8,22.4,35.7,332
"Satyawati College, Delhi, Delhi, India",Delhi,44:28.7,26.675,74.35,980.65,1.375,55.3,256,234,59.2,11.9,2.1,33.8,256
"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",Jhilmil,44:28.7,28.775,62.925,984.35,0.3,221.3,265,210,48.3,5.1,8.2,35.1,265
"Sonia Vihar Water Treatment Plant DJB, Delhi, Delhi, India",Sonia Vihar,44:28.7,26.575,78.525,991.3,0.3,313.6,251,177,16.5,1.8,1.7,24.9,251
"PGDAV College, Sriniwaspuri, Delhi, Delhi, India",Sriniwaspuri,44:28.7,22.3,71.425,985.65,0.3,347.1,282,347,43.1,5.2,3.4,29.9,347
"Pusa, Delhi, Delhi, India",Pusa,44:28.7,27.25,74.35,983.875,0.3,180.4,239,315,36.6,1.6,0.8,8.5,315
"R.K. Puram, Delhi, Delhi, India",R.K. Puram,44:28.7,24.9,81.5,980.4,0.3,148,310,450,36.1,4.9,7,20.4,450
"Major Dhyan Chand National Stadium, Delhi, Delhi, India",Major Dhyan Chand National Stadium,44:28.7,25.7,67.625,987.025,0.225,346.4,230,181,85.7,10.3,6.7,22.9,230
"Mandir Marg, Delhi, Delhi, India",Mandir Marg,44:28.7,29.950000000000003,91.6,985.825,0.3,323.8,208,127,33.6,0.9,8.9,5.2,208
"Mother Dairy Plant, Parparganj, Delhi, Delhi, India",Parparganj,44:28.7,27.950000000000003,60.725,984.775,0.3,4.4,200,276,85.2,3.3,1.2,28.4,276
"Jawaharlal Nehru Stadium, Delhi, Delhi, India",Jawaharlal Nehru Stadium,44:28.7,27.775,65.175,991.15,1.7,308.7,200,286,74.2,8,5,12.7,286
"IHBAS, Delhi, Delhi, India",IHBAS,44:28.7,34,52,1000,1,,,,16.9,6.4,10.7,11.3,-
"Lodhi Road, Delhi, Delhi, India",Lodhi Road,44:28.7,,,,1.5,,159,134,29.7,,4.5,0.1,159
"Burari Crossing, Delhi, Delhi, India",Burari,44:28.7,,,,1.5,,160,,17.6,,15.9,0.1,160
"CRRI Mathura Road, Delhi, Delhi, India",Mathura Road,44:28.7,,,,1.5,,217,233,13.6,,9,0.1,233
"Siri Fort, Delhi, Delhi, India",Siri Fort,44:28.7,,,,,,193,334,3.7,8.6,33.3,0.1,334
"North Campus, Delhi, Delhi, India",North Campus,44:28.7,,,,3.6,,164,157,7.7,,12.6,0.1,164
"Civil Lines, Delhi, Delhi, India",Civil Lines,44:28.7,,,,,,,,,,,,-
"ITO, Delhi, Delhi, India",ITO,44:28.7,,,,,,,,,,,,-
"ITI Jahangirpuri, Delhi, Delhi, India",Jahangirpuri,44:28.7,26.825,65.32499999999999,975.175,0.225,145.1,262,333,33.7,11.9,1.6,45.2,333
"Anand Vihar, Delhi, Delhi, India",Anand Vihar,44:28.7,28.575000000000003,59.12500000000001,979.35,0.325,249.2,306,552,37.8,3.8,2.7,23.5,552
"Delhi Institute of Tool Engineering, Wazirpur, Delhi, Delhi, India",Wazirpur,44:28.7,30.45,74.1,990.425,0.3,21.7,252,332,62.4,4.8,22.4,35.7,332
"Satyawati College, Delhi, Delhi, India",Delhi,44:28.7,26.675,74.35,980.65,1.375,55.3,256,234,59.2,11.9,2.1,33.8,256
"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",Jhilmil,44:28.7,28.775,62.925,984.35,0.3,221.3,265,210,48.3,5.1,8.2,35.1,265
"Sonia Vihar Water Treatment Plant DJB, Delhi, Delhi, India",Sonia Vihar,44:28.7,26.575,78.525,991.3,0.3,313.6,251,177,16.5,1.8,1.7,24.9,251
"PGDAV College, Sriniwaspuri, Delhi, Delhi, India",Sriniwaspuri,44:28.7,22.3,71.425,985.65,0.3,347.1,282,347,43.1,5.2,3.4,29.9,347
"Pusa, Delhi, Delhi, India",Pusa,44:28.7,27.25,74.35,983.875,0.3,180.4,239,315,36.6,1.6,0.8,8.5,315
"R.K. Puram, Delhi, Delhi, India",R.K. Puram,44:28.7,24.9,81.5,980.4,0.3,148,310,450,36.1,4.9,7,20.4,450
"Major Dhyan Chand National Stadium, Delhi, Delhi, India",Major Dhyan Chand National Stadium,44:28.7,25.7,67.625,987.025,0.225,346.4,230,181,85.7,10.3,6.7,22.9,230
"Mandir Marg, Delhi, Delhi, India",Mandir Marg,44:28.7,29.950000000000003,91.6,985.825,0.3,323.8,208,127,33.6,0.9,8.9,5.2,208
"Mother Dairy Plant, Parparganj, Delhi, Delhi, India",Parparganj,44:28.7,27.950000000000003,60.725,984.775,0.3,4.4,200,276,85.2,3.3,1.2,28.4,276
"Jawaharlal Nehru Stadium, Delhi, Delhi, India",Jawaharlal Nehru Stadium,44:28.7,27.775,65.175,991.15,1.7,308.7,200,286,74.2,8,5,12.7,286
"IHBAS, Delhi, Delhi, India",IHBAS,44:28.7,34,52,1000,1,,,,16.9,6.4,10.7,11.3,-
"Lodhi Road, Delhi, Delhi, India",Lodhi Road,44:28.7,,,,1.5,,159,134,29.7,,4.5,0.1,159
"Burari Crossing, Delhi, Delhi, India",Burari,44:28.7,,,,1.5,,160,,17.6,,15.9,0.1,160
"CRRI Mathura Road, Delhi, Delhi, India",Mathura Road,44:28.7,,,,1.5,,217,233,13.6,,9,0.1,233
"Siri Fort, Delhi, Delhi, India",Siri Fort,44:28.7,,,,,,193,334,3.7,8.6,33.3,0.1,334
"North Campus, Delhi, Delhi, India",North Campus,44:28.7,,,,3.6,,164,157,7.7,,12.6,0.1,164
"Civil Lines, Delhi, Delhi, India",Civil Lines,44:28.7,,,,,,,,,,,,-
"ITO, Delhi, Delhi, India",ITO,44:28.7,,,,,,,,,,,,-
"ITI Jahangirpuri, Delhi, Delhi, India",Jahangirpuri,44:28.7,26.825,65.32499999999999,975.175,0.225,145.1,262,333,33.7,11.9,1.6,45.2,333
